START DATE,END DATE,START TIME,END TIME,SUBJECT
2023/08/17,2023/08/17,14:05,14:10,Passing PM
2023/08/18,2023/08/18,14:05,14:10,Passing PM
2023/08/21,2023/08/21,14:05,14:10,Passing PM
2023/08/22,2023/08/22,14:05,14:10,Passing PM
2023/08/24,2023/08/24,14:05,14:10,Passing PM
2023/08/25,2023/08/25,14:05,14:10,Passing PM
2023/08/28,2023/08/28,14:05,14:10,Passing PM
2023/08/29,2023/08/29,14:05,14:10,Passing PM
2023/08/31,2023/08/31,14:05,14:10,Passing PM
2023/09/01,2023/09/01,14:05,14:10,Passing PM
2023/09/04,2023/09/04,14:05,14:10,Passing PM
2023/09/05,2023/09/05,14:05,14:10,Passing PM
2023/09/07,2023/09/07,14:05,14:10,Passing PM
2023/09/08,2023/09/08,14:05,14:10,Passing PM
2023/09/11,2023/09/11,14:05,14:10,Passing PM
2023/09/12,2023/09/12,14:05,14:10,Passing PM
2023/09/14,2023/09/14,14:05,14:10,Passing PM
2023/09/15,2023/09/15,14:05,14:10,Passing PM
2023/09/18,2023/09/18,14:05,14:10,Passing PM
2023/09/19,2023/09/19,14:05,14:10,Passing PM
2023/09/21,2023/09/21,14:05,14:10,Passing PM
2023/09/22,2023/09/22,14:05,14:10,Passing PM
2023/09/25,2023/09/25,14:05,14:10,Passing PM
2023/09/26,2023/09/26,14:05,14:10,Passing PM
2023/09/28,2023/09/28,14:05,14:10,Passing PM
2023/09/29,2023/09/29,14:05,14:10,Passing PM
2023/10/02,2023/10/02,14:05,14:10,Passing PM
2023/10/03,2023/10/03,14:05,14:10,Passing PM
2023/10/05,2023/10/05,14:05,14:10,Passing PM
2023/10/06,2023/10/06,14:05,14:10,Passing PM
2023/10/09,2023/10/09,14:05,14:10,Passing PM
2023/10/10,2023/10/10,14:05,14:10,Passing PM
2023/10/12,2023/10/12,14:05,14:10,Passing PM
2023/10/13,2023/10/13,14:05,14:10,Passing PM
2023/10/16,2023/10/16,14:05,14:10,Passing PM
2023/10/17,2023/10/17,14:05,14:10,Passing PM
2023/10/19,2023/10/19,14:05,14:10,Passing PM
2023/10/20,2023/10/20,14:05,14:10,Passing PM
2023/10/23,2023/10/23,14:05,14:10,Passing PM
2023/10/24,2023/10/24,14:05,14:10,Passing PM
2023/10/26,2023/10/26,14:05,14:10,Passing PM
2023/10/27,2023/10/27,14:05,14:10,Passing PM
2023/10/30,2023/10/30,14:05,14:10,Passing PM
2023/10/31,2023/10/31,14:05,14:10,Passing PM
2023/11/02,2023/11/02,14:05,14:10,Passing PM
2023/11/03,2023/11/03,14:05,14:10,Passing PM
2023/11/06,2023/11/06,14:05,14:10,Passing PM
2023/11/07,2023/11/07,14:05,14:10,Passing PM
2023/11/09,2023/11/09,14:05,14:10,Passing PM
2023/11/10,2023/11/10,14:05,14:10,Passing PM
2023/11/13,2023/11/13,14:05,14:10,Passing PM
