START DATE,END DATE,START TIME,END TIME,SUBJECT
2023/08/18,2023/08/18,10:15,11:35,Block F
2023/08/22,2023/08/22,8:30,9:55,Block F
2023/08/24,2023/08/24,14:10,15:30,Block F
2023/08/28,2023/08/28,12:45,14:05,Block F
2023/08/30,2023/08/30,10:05,11:25,Block F
2023/09/01,2023/09/01,8:30,9:55,Block F
2023/09/05,2023/09/05,14:10,15:30,Block F
2023/09/07,2023/09/07,12:45,14:05,Block F
2023/09/11,2023/09/11,10:15,11:35,Block F
2023/09/13,2023/09/13,8:30,9:50,Block F
2023/09/15,2023/09/15,14:10,15:30,Block F
2023/09/19,2023/09/19,12:45,14:05,Block F
2023/09/21,2023/09/21,10:15,11:35,Block F
2023/09/25,2023/09/25,8:30,9:55,Block F
2023/09/27,2023/09/27,13:25,14:45,Block F
2023/09/29,2023/09/29,12:45,14:05,Block F
2023/10/03,2023/10/03,10:15,11:35,Block F
2023/10/05,2023/10/05,8:30,9:55,Block F
2023/10/09,2023/10/09,14:10,15:30,Block F
2023/10/11,2023/10/11,11:30,12:50,Block F
2023/10/13,2023/10/13,10:15,11:35,Block F
2023/10/17,2023/10/17,8:30,9:55,Block F
2023/10/19,2023/10/19,14:10,15:30,Block F
2023/10/23,2023/10/23,12:45,14:05,Block F
2023/10/25,2023/10/25,10:05,11:25,Block F
2023/10/27,2023/10/27,8:30,9:55,Block F
2023/10/31,2023/10/31,14:10,15:30,Block F
2023/11/02,2023/11/02,12:45,14:05,Block F
2023/11/06,2023/11/06,10:15,11:35,Block F
2023/11/08,2023/11/08,8:30,9:50,Block F
2023/11/10,2023/11/10,14:10,15:30,Block F
2023/11/14,2023/11/14,12:45,14:05,Block F
2023/11/16,2023/11/16,10:15,11:35,Block F
2023/11/20,2023/11/20,8:30,9:55,Block F
2023/11/22,2023/11/22,13:25,14:45,Block F
2023/11/24,2023/11/24,12:45,14:05,Block F
2023/11/28,2023/11/28,10:15,11:35,Block F
2023/11/30,2023/11/30,8:30,9:55,Block F
2023/12/04,2023/12/04,14:10,15:30,Block F
2023/12/06,2023/12/06,11:30,12:50,Block F
2023/12/08,2023/12/08,10:15,11:35,Block F
2023/12/12,2023/12/12,8:30,9:55,Block F
2023/12/14,2023/12/14,14:10,15:30,Block F
2023/12/18,2023/12/18,12:45,14:05,Block F
